,,yoshinari:LFHD,,,HSR:HSR1,,,HSR:HSR2,,,HSR:HSR3,,,HSR:HSR4,,,HSR:HSR5,,,HSR:HSR6,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
72,0,-3419.506104,-567.578491,1655.200806,-127.721863,1232.003296,1112.535522,-55.371067,1244.519043,1033.114136,-145.126465,1304.359863,1037.121094,-69.071228,1319.309814,1032.285889,-119.311661,1157.288086,1038.050293,-42.738178,1168.418701,1034.215454
73,0,-3419.095947,-568.597961,1655.278442,-127.71949,1231.99353,1112.543701,-55.358967,1244.483521,1033.11853,-145.128586,1304.363159,1037.09668,-69.083679,1319.317993,1032.307983,-119.288918,1157.279419,1038.061157,-42.728756,1168.385132,1034.23877
74,0,-3419.578369,-569.436523,1655.065674,-127.714783,1231.981689,1112.549072,-55.318104,1244.226685,1033.114746,-145.14241,1304.373901,1037.097412,-69.090141,1319.309692,1032.307983,-119.319023,1157.265259,1038.076538,-42.749073,1168.378784,1034.255249
75,0,-3420.150391,-570.521606,1655.367676,-127.739624,1232.011475,1112.578247,-55.344872,1244.255615,1033.143433,-145.159775,1304.391602,1037.10144,-69.114174,1319.34668,1032.312012,-119.341011,1157.294556,1038.077637,-42.780773,1168.398438,1034.255005
76,0,-3421.075928,-571.527283,1655.291748,-127.763344,1232.027466,1112.559937,-55.418419,1244.52417,1033.143311,-145.173019,1304.376465,1037.101562,-69.107391,1319.357422,1032.300903,-119.354301,1157.324341,1038.080444,-42.779602,1168.420532,1034.245239
77,0,-3420.882812,-572.353516,1655.352417,-127.746803,1232.033813,1112.54541,-55.408676,1244.57019,1033.113892,-145.153229,1304.356934,1037.078857,-69.077507,1319.327881,1032.281006,-119.340271,1157.303711,1038.073242,-42.771534,1168.443237,1034.232056
78,0,-3419.69043,-573.790222,1655.693359,-127.73481,1232.014526,1112.534302,-55.377914,1244.527466,1033.111206,-145.124161,1304.355957,1037.083862,-69.066475,1319.317749,1032.287476,-119.317993,1157.293945,1038.044067,-42.756634,1168.433472,1034.213013
79,0,-3418.428223,-574.99823,1655.825806,-127.727791,1232.010254,1112.526611,-55.357056,1244.496094,1033.105347,-145.126419,1304.353149,1037.079834,-69.078949,1319.316895,1032.283325,-119.300583,1157.278442,1038.048584,-42.725285,1168.399658,1034.222168
80,0,-3418.867432,-575.749084,1655.339478,-127.728775,1231.979858,1112.561523,-55.319897,1244.248169,1033.13623,-145.130051,1304.378418,1037.113403,-69.103561,1319.321899,1032.313477,-119.317184,1157.288574,1038.080566,-42.73592,1168.380493,1034.25
81,0,-3417.978027,-576.771301,1655.373047,-127.750801,1232.005371,1112.562134,-55.33847,1244.246826,1033.126953,-145.160126,1304.381104,1037.095337,-69.109871,1319.328735,1032.312622,-119.323441,1157.30896,1038.095825,-42.764019,1168.385376,1034.252563
82,0,-3417.141602,-577.797241,1655.415283,-127.766518,1232.028076,1112.580078,-55.397053,1244.53418,1033.141113,-145.159622,1304.38208,1037.101685,-69.118187,1319.332275,1032.322388,-119.349213,1157.313599,1038.083862,-42.765537,1168.407104,1034.25293
83,0,-3416.821289,-578.736816,1655.213013,-127.757683,1232.032593,1112.570801,-55.355785,1244.286621,1033.131836,-145.150513,1304.361328,1037.10437,-69.100204,1319.321167,1032.306152,-119.339668,1157.300781,1038.084839,-42.793999,1168.416992,1034.237915
84,0,-3415.330811,-579.905151,1655.172485,-127.744766,1232.022339,1112.554565,-55.329628,1244.26062,1033.131104,-145.141312,1304.366455,1037.110229,-69.072464,1319.315063,1032.313843,-119.317276,1157.295532,1038.073853,-42.76955,1168.422241,1034.229614
85,0,-3415.011963,-581.130615,1655.126831,-127.739265,1232.00293,1112.545898,-55.367119,1244.489746,1033.124268,-145.107056,1304.355835,1037.109375,-69.084915,1319.302734,1032.29187,-119.306595,1157.269531,1038.065674,-42.737587,1168.405029,1034.23645
86,0,-3418.998047,-580.895752,1654.474487,-127.721191,1231.981934,1112.55127,-55.323219,1244.220459,1033.119141,-145.128372,1304.379272,1037.118286,-69.094391,1319.292114,1032.294556,-119.309929,1157.267944,1038.062866,-42.744495,1168.374756,1034.242798
87,0,-3415.98291,-583.014404,1655.153198,-127.732697,1231.996948,1112.562256,-55.38464,1244.487793,1033.143799,-145.158676,1304.377563,1037.084839,-69.11673,1319.327148,1032.33728,-119.341568,1157.280884,1038.074585,-42.754253,1168.368042,1034.26416
88,0,,,,-127.762573,1232.01709,1112.564697,-55.353127,1244.269409,1033.127808,-145.166153,1304.384888,1037.108032,-69.114815,1319.343262,1032.309204,-119.339241,1157.30188,1038.084351,-42.790585,1168.39856,1034.259033
89,0,-3408.427002,-584.804504,1654.776489,-127.767685,1232.030029,1112.564819,-55.400814,1244.556641,1033.103516,-145.170395,1304.372437,1037.092285,-69.102654,1319.342285,1032.301514,-119.346458,1157.304077,1038.086182,-42.769657,1168.429199,1034.235107
90,0,-3404.77002,-585.716125,1655.366943,-127.738373,1232.013428,1112.556274,-55.391754,1244.555176,1033.110474,-145.121017,1304.354004,1037.093262,-69.092766,1319.340332,1032.279663,-119.315277,1157.284302,1038.078369,-42.753777,1168.445801,1034.219238
91,0,-3406.373535,-586.704224,1655.068604,-127.728477,1232.022583,1112.549561,-55.305626,1244.247925,1033.108154,-145.105499,1304.346924,1037.097534,-69.063736,1319.293091,1032.270874,-119.30722,1157.290283,1038.054688,-42.732269,1168.407837,1034.214844
92,0,-3412.333252,-588.220947,1655.257202,-127.718109,1231.989136,1112.540039,-55.30027,1244.218384,1033.119751,-145.128799,1304.354492,1037.0979,-69.066788,1319.305908,1032.295044,-119.287758,1157.274048,1038.077026,-42.720966,1168.369873,1034.25293
93,0,,,,-127.718475,1231.97583,1112.556519,-55.358841,1244.477295,1033.138428,-145.124069,1304.365356,1037.109985,-69.09745,1319.305176,1032.313843,-119.314049,1157.265137,1038.078003,-42.752426,1168.354492,1034.266235
94,0,-3411.888916,-589.502747,1654.888916,-127.749977,1232.010864,1112.560303,-55.336796,1244.249634,1033.125488,-145.150192,1304.363037,1037.081421,-69.121002,1319.304077,1032.297119,-119.314728,1157.291016,1038.071289,-42.759357,1168.391602,1034.254272
95,0,-3410.702881,-590.395508,1655.20752,-127.755959,1232.020264,1112.568481,-55.403767,1244.516113,1033.122192,-145.171738,1304.370728,1037.095215,-69.11544,1319.329834,1032.297119,-119.346046,1157.321289,1038.077026,-42.7761,1168.430542,1034.240845
96,0,-3409.836182,-591.20929,1655.45813,-127.76297,1232.001953,1112.569336,-55.412994,1244.550537,1033.133423,-145.15538,1304.362549,1037.099854,-69.101936,1319.3302,1032.309448,-119.338295,1157.304565,1038.089111,-42.785431,1168.424805,1034.237183
97,0,-3409.041016,-591.966736,1655.463379,-127.742485,1232.01709,1112.550171,-55.379276,1244.494141,1033.134155,-145.146439,1304.3573,1037.089722,-69.06884,1319.312134,1032.318848,-119.340118,1157.306763,1038.060547,-42.756344,1168.421143,1034.244751
98,0,-3408.686768,-592.458435,1655.442627,-127.72094,1231.997681,1112.546265,-55.369762,1244.473999,1033.107422,-145.12645,1304.366333,1037.087402,-69.083504,1319.312134,1032.285034,-119.31562,1157.281006,1038.043335,-42.739246,1168.382202,1034.233643
99,0,-3408.101318,-593.340271,1655.45105,-127.722786,1231.963745,1112.550659,-55.377579,1244.472534,1033.138306,-145.145691,1304.366699,1037.08374,-69.100204,1319.316772,1032.32251,-119.317787,1157.269897,1038.061401,-42.750061,1168.366821,1034.25354
100,0,-3408.83667,-594.235291,1655.276245,-127.74733,1232.006226,1112.549683,-55.343441,1244.221313,1033.127686,-145.173477,1304.38147,1037.079468,-69.103004,1319.316772,1032.310547,-119.339134,1157.298828,1038.085327,-42.777664,1168.375488,1034.245972
