,,yoshinari:CentreOfMass,,,HSR:HSR1,,,HSR:HSR2,,,HSR:HSR3,,,HSR:HSR4,,,HSR:HSR5,,,HSR:HSR6,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
62,0,-296.72,-724.251,936.7,-287.57843,1299.981445,1113.236206,-287.973114,1373.254761,1033.44104,-362.824432,1294.851074,1038.109863,-364.390167,1372.515381,1033.18689,-213.464752,1295.255859,1037.789062,-210.847946,1372.606934,1034.082764
63,0,-296.765,-724.214,936.735,-287.585724,1300.014282,1113.260376,-287.984375,1373.247803,1033.442627,-362.822906,1294.850464,1038.143677,-364.418213,1372.54126,1033.197021,-213.480515,1295.247437,1037.801758,-210.874237,1372.647583,1034.100342
64,0,-296.757,-724.133,936.766,-287.610748,1300.032959,1113.269653,-288.005707,1373.277466,1033.449341,-362.865723,1294.85498,1038.17395,-364.438843,1372.531006,1033.212646,-213.482071,1295.250366,1037.808838,-210.89209,1372.633789,1034.102783
65,0,-296.829,-724.056,936.763,-287.61911,1300.019409,1113.265137,-288.012634,1373.264038,1033.462036,-362.874451,1294.856201,1038.164673,-364.449249,1372.540771,1033.234985,-213.514114,1295.270874,1037.822021,-210.890747,1372.627075,1034.116455
66,0,-296.905,-723.996,936.765,-287.60257,1299.99231,1113.265869,-287.991852,1373.246704,1033.447632,-362.857666,1294.871216,1038.156982,-364.436676,1372.517212,1033.21228,-213.485428,1295.262817,1037.789062,-210.868622,1372.611084,1034.113159
67,0,-296.945,-723.963,936.752,-287.569183,1299.9646,1113.258423,-287.982117,1373.230713,1033.434937,-362.843628,1294.856445,1038.134155,-364.427399,1372.481567,1033.21521,-213.477783,1295.258911,1037.787109,-210.8564,1372.593262,1034.104858
68,0,-296.938,-723.935,936.722,-287.565216,1299.982788,1113.246948,-287.979614,1373.260864,1033.432129,-362.833069,1294.841553,1038.112183,-364.416138,1372.495483,1033.18042,-213.474304,1295.26355,1037.769165,-210.853409,1372.603149,1034.07666
69,0,-296.915,-723.92,936.744,-287.583038,1300.003784,1113.257324,-287.973969,1373.252319,1033.437744,-362.831573,1294.843262,1038.124512,-364.41748,1372.524048,1033.177734,-213.470047,1295.233276,1037.780884,-210.860703,1372.614624,1034.075073
70,0,-296.914,-723.849,936.767,-287.613892,1300.025513,1113.271606,-288.001984,1373.262573,1033.445068,-362.848297,1294.850342,1038.155518,-364.444,1372.529297,1033.217041,-213.494034,1295.24292,1037.800537,-210.891724,1372.630249,1034.115723
71,0,-296.915,-723.766,936.768,-287.62204,1300.040771,1113.279175,-288.019226,1373.262573,1033.459229,-362.872223,1294.865356,1038.164673,-364.449402,1372.539673,1033.227295,-213.506195,1295.276733,1037.829346,-210.901825,1372.623047,1034.118896
72,0,-296.95,-723.679,936.743,-287.596344,1300.020752,1113.274048,-288.00174,1373.265991,1033.422485,-362.868866,1294.884644,1038.156738,-364.451721,1372.527344,1033.230835,-213.501999,1295.273438,1037.807739,-210.886383,1372.623657,1034.108154
73,0,-296.888,-723.586,936.673,-287.569977,1299.973389,1113.255005,-287.976013,1373.242676,1033.443359,-362.850159,1294.867432,1038.133057,-364.418549,1372.499756,1033.193848,-213.482651,1295.263062,1037.784302,-210.858444,1372.58667,1034.085327
74,0,-296.829,-723.55,936.663,-287.564819,1299.969116,1113.253052,-287.977386,1373.238647,1033.438477,-362.832825,1294.835693,1038.136719,-364.408966,1372.471558,1033.1875,-213.45459,1295.238647,1037.781616,-210.854767,1372.579834,1034.085571
75,0,-296.75,-723.509,936.674,-287.578064,1299.981934,1113.241943,-287.987732,1373.238647,1033.453979,-362.838104,1294.83728,1038.131958,-364.404785,1372.487427,1033.186523,-213.473175,1295.219727,1037.768311,-210.874893,1372.599365,1034.079468
76,0,-296.667,-723.457,936.667,-287.597321,1300.007202,1113.253296,-288.013,1373.262939,1033.439209,-362.846405,1294.831543,1038.142456,-364.432709,1372.519775,1033.184204,-213.481537,1295.23999,1037.796387,-210.893951,1372.634888,1034.08728
77,0,-296.666,-723.393,936.707,-287.622467,1300.025757,1113.259033,-288.020752,1373.253174,1033.450195,-362.872467,1294.845947,1038.147705,-364.443878,1372.539551,1033.205566,-213.479645,1295.251587,1037.804688,-210.895721,1372.637451,1034.095215
78,0,-296.62,-723.284,936.659,-287.617889,1300.015747,1113.259521,-288.005768,1373.265503,1033.421997,-362.87262,1294.871826,1038.139404,-364.451385,1372.53772,1033.20105,-213.502441,1295.295654,1037.800903,-210.897461,1372.640015,1034.10022
79,0,-296.573,-723.211,936.613,-287.595093,1299.990112,1113.252319,-287.985535,1373.248901,1033.424316,-362.850555,1294.871826,1038.141235,-364.435547,1372.511353,1033.216553,-213.491379,1295.28186,1037.786255,-210.8694,1372.598145,1034.10791
80,0,-296.441,-723.174,936.575,-287.571472,1299.979492,1113.230225,-287.977753,1373.249756,1033.42041,-362.839813,1294.850342,1038.12561,-364.409485,1372.499512,1033.172119,-213.477127,1295.257324,1037.773193,-210.8694,1372.590942,1034.081665
81,0,-296.289,-723.125,936.572,-287.58075,1300.004761,1113.242676,-287.965302,1373.247925,1033.418701,-362.816315,1294.835327,1038.11499,-364.393524,1372.523193,1033.171753,-213.461777,1295.25,1037.783325,-210.865738,1372.604004,1034.07666
82,0,-296.1,-723.08,936.578,-287.602692,1300.026245,1113.256592,-287.980103,1373.270874,1033.440186,-362.834656,1294.837769,1038.134399,-364.416748,1372.542358,1033.192139,-213.469757,1295.255127,1037.798218,-210.886307,1372.616943,1034.098389
83,0,-296.012,-723.001,936.576,-287.609131,1300.031616,1113.27002,-288.01474,1373.250732,1033.44751,-362.853943,1294.8479,1038.147095,-364.434021,1372.528687,1033.210083,-213.50325,1295.247437,1037.817749,-210.885101,1372.627075,1034.09668
84,0,-295.857,-722.922,936.517,-287.619507,1300.006226,1113.268311,-288.009003,1373.262329,1033.445435,-362.877411,1294.861206,1038.14978,-364.453949,1372.525146,1033.209595,-213.496994,1295.270508,1037.82373,-210.886337,1372.620728,1034.108887
85,0,-295.769,-722.827,936.463,-287.597656,1299.989624,1113.255615,-287.992432,1373.263184,1033.427368,-362.863281,1294.868652,1038.137817,-364.435669,1372.510742,1033.222412,-213.482895,1295.275146,1037.783447,-210.869781,1372.608765,1034.102051
86,0,-295.621,-722.795,936.432,-287.57486,1299.974731,1113.247559,-287.97345,1373.226318,1033.414551,-362.836517,1294.853516,1038.130249,-364.415131,1372.48877,1033.202637,-213.47464,1295.25769,1037.783081,-210.851883,1372.592163,1034.076538
87,0,-295.41,-722.721,936.404,-287.572632,1299.994507,1113.248535,-287.973145,1373.252441,1033.427002,-362.829376,1294.838013,1038.128906,-364.395416,1372.507202,1033.165649,-213.462936,1295.24646,1037.78772,-210.865875,1372.611572,1034.081665
88,0,-295.33,-722.694,936.49,-287.587341,1299.99585,1113.254272,-287.976929,1373.264648,1033.444336,-362.832855,1294.838745,1038.146851,-364.408447,1372.51709,1033.169067,-213.463181,1295.244629,1037.803589,-210.880508,1372.631836,1034.081177
89,0,-295.176,-722.632,936.496,-287.610229,1300.027344,1113.267334,-288.009003,1373.256592,1033.448486,-362.847595,1294.844971,1038.164185,-364.41037,1372.537231,1033.202881,-213.489197,1295.223755,1037.797363,-210.898178,1372.633667,1034.105469
90,0,-295.064,-722.546,936.488,-287.62207,1300.044678,1113.262207,-288.000092,1373.270386,1033.44397,-362.871429,1294.870117,1038.148682,-364.437103,1372.553711,1033.211548,-213.497025,1295.269409,1037.812012,-210.885757,1372.636963,1034.101929
91,0,-294.959,-722.471,936.453,-287.596222,1300.006958,1113.258179,-287.997925,1373.262695,1033.421143,-362.868683,1294.880493,1038.141357,-364.43219,1372.540283,1033.227173,-213.499023,1295.296509,1037.825684,-210.87262,1372.613892,1034.080078
