patient_id,type_id,trial_id,n_frames,n_partialout_head,n_partialout_foot,n_partialout_left,n_partialout_right,n_totalout,time_partialout_head,time_partialout_foot,time_partialout_left,time_partialout_right,time_totalout,csvpath
11,06,01,282,0,0,1,0,1,0.0,0,0.0,0.0,10.235843181610107,C:/Users/hayashide/kazu_ws/sotsuron_experiment/sotsuron_experiment/results/ras_csv\11_06_01__2023-10-22-16-05-52_2d.csv
11,07,00,491,0,0,0,0,0,0.0,0,0.0,0.0,0.0,C:/Users/hayashide/kazu_ws/sotsuron_experiment/sotsuron_experiment/results/ras_csv\11_07_00__2023-10-22-16-13-01_2d.csv
11,08,02,332,0,0,0,0,0,0.0,0,0.0,0.0,0.0,C:/Users/hayashide/kazu_ws/sotsuron_experiment/sotsuron_experiment/results/ras_csv\11_08_02__2023-10-22-16-22-32_2d.csv
11,09,00,418,0,0,9,1,2,0.0,0,1.2041268348693848,0.0,17.90131139755249,C:/Users/hayashide/kazu_ws/sotsuron_experiment/sotsuron_experiment/results/ras_csv\11_09_00__2023-10-22-16-26-05_2d.csv
11,10,00,389,0,0,0,0,0,0.0,0,0.0,0.0,0.0,C:/Users/hayashide/kazu_ws/sotsuron_experiment/sotsuron_experiment/results/ras_csv\11_10_00__2023-10-22-16-38-30_2d.csv
12,00,00,340,0,0,0,0,0,0.0,0,0.0,0.0,0.0,C:/Users/hayashide/kazu_ws/sotsuron_experiment/sotsuron_experiment/results/ras_csv\12_00_00__2023-10-22-16-41-17_2d.csv
12,01,00,361,0,0,1,0,0,0.0,0,0.0,0.0,0.0,C:/Users/hayashide/kazu_ws/sotsuron_experiment/sotsuron_experiment/results/ras_csv\12_01_00__2023-10-22-16-44-49_2d.csv
12,02,00,273,8,0,0,0,0,0.0,0,0.0,0.0,0.0,C:/Users/hayashide/kazu_ws/sotsuron_experiment/sotsuron_experiment/results/ras_csv\12_02_00__2023-10-22-16-48-05_2d.csv
12,03,00,291,2,0,1,0,0,0.0,0,0.0,0.0,0.0,C:/Users/hayashide/kazu_ws/sotsuron_experiment/sotsuron_experiment/results/ras_csv\12_03_00__2023-10-22-16-51-51_2d.csv
12,04,02,251,1,0,25,1,1,0.0,0,4.415509939193726,0.0,15.654700994491577,C:/Users/hayashide/kazu_ws/sotsuron_experiment/sotsuron_experiment/results/ras_csv\12_04_02__2023-10-22-17-02-04_2d.csv
12,05,00,483,14,0,2,0,1,2.2746503353118896,0,0.0,0.0,4.382126808166504,C:/Users/hayashide/kazu_ws/sotsuron_experiment/sotsuron_experiment/results/ras_csv\12_05_00__2023-10-22-17-06-21_2d.csv
12,06,00,127,0,0,1,0,0,0.0,0,0.0,0.0,0.0,C:/Users/hayashide/kazu_ws/sotsuron_experiment/sotsuron_experiment/results/ras_csv\12_06_00__2023-10-22-17-09-24_2d.csv
