,sim_paths,exp_time,last_x,odom_paths,skeleton_paths
30,C:/Users/hayashide/ytlab_ros_ws/ytlab_nlpmp/ytlab_nlpmp_modules/results\20231021\20231021_114527_05_04_00_koyama\20231021_114529_od.csv,3866,7.363393447929875,C:/Users/hayashide/kazu_ws/sotsuron_experiment/sotsuron_experiment/results/ras_csv\05_08_00__2023-10-21-11-58-34.csv,C:/Users/hayashide/kazu_ws/sotsuron_experiment/sotsuron_experiment/analysis/mp4/skeleton\04_10_01__2023-10-21-11-12-04_skeleton.mp4
31,C:/Users/hayashide/ytlab_ros_ws/ytlab_nlpmp/ytlab_nlpmp_modules/results\20231021\20231021_114907_05_05_00_koyama\20231021_114910_od.csv,3280,7.33883908049057,C:/Users/hayashide/kazu_ws/sotsuron_experiment/sotsuron_experiment/results/ras_csv\05_09_00__2023-10-21-12-01-51.csv,C:/Users/hayashide/kazu_ws/sotsuron_experiment/sotsuron_experiment/analysis/mp4/skeleton\05_00_00__2023-10-21-11-29-44_skeleton.mp4
32,C:/Users/hayashide/ytlab_ros_ws/ytlab_nlpmp/ytlab_nlpmp_modules/results\20231021\20231021_115207_05_06_00_koyama\20231021_115210_od.csv,3954,7.2239110335525565,C:/Users/hayashide/kazu_ws/sotsuron_experiment/sotsuron_experiment/results/ras_csv\05_10_00__2023-10-21-12-05-09.csv,C:/Users/hayashide/kazu_ws/sotsuron_experiment/sotsuron_experiment/analysis/mp4/skeleton\05_01_01__2023-10-21-11-35-22_skeleton.mp4
33,C:/Users/hayashide/ytlab_ros_ws/ytlab_nlpmp/ytlab_nlpmp_modules/results\20231021\20231021_115516_05_07_00_koyama\20231021_115519_od.csv,3936,7.26650057006213,C:/Users/hayashide/kazu_ws/sotsuron_experiment/sotsuron_experiment/results/ras_csv\06_00_00__2023-10-21-13-14-24.csv,C:/Users/hayashide/kazu_ws/sotsuron_experiment/sotsuron_experiment/analysis/mp4/skeleton\05_02_00__2023-10-21-11-38-29_skeleton.mp4
34,C:/Users/hayashide/ytlab_ros_ws/ytlab_nlpmp/ytlab_nlpmp_modules/results\20231021\20231021_115915_05_08_00_koyama\20231021_115917_od.csv,3814,7.252636548983913,C:/Users/hayashide/kazu_ws/sotsuron_experiment/sotsuron_experiment/results/ras_csv\06_01_00__2023-10-21-13-17-14.csv,C:/Users/hayashide/kazu_ws/sotsuron_experiment/sotsuron_experiment/analysis/mp4/skeleton\05_03_00__2023-10-21-11-41-27_skeleton.mp4
35,C:/Users/hayashide/ytlab_ros_ws/ytlab_nlpmp/ytlab_nlpmp_modules/results\20231021\20231021_120201_05_09_00_koyama\20231021_120203_od.csv,3730,7.344581616591094,C:/Users/hayashide/kazu_ws/sotsuron_experiment/sotsuron_experiment/results/ras_csv\06_02_00__2023-10-21-13-20-39.csv,C:/Users/hayashide/kazu_ws/sotsuron_experiment/sotsuron_experiment/analysis/mp4/skeleton\05_04_00__2023-10-21-11-45-09_skeleton.mp4
36,C:/Users/hayashide/ytlab_ros_ws/ytlab_nlpmp/ytlab_nlpmp_modules/results\20231021\20231021_120518_05_10_00_koyama\20231021_120521_od.csv,4064,5.203745117737337,C:/Users/hayashide/kazu_ws/sotsuron_experiment/sotsuron_experiment/results/ras_csv\06_03_00__2023-10-21-13-24-16.csv,C:/Users/hayashide/kazu_ws/sotsuron_experiment/sotsuron_experiment/analysis/mp4/skeleton\05_05_00__2023-10-21-11-48-46_skeleton.mp4
37,C:/Users/hayashide/ytlab_ros_ws/ytlab_nlpmp/ytlab_nlpmp_modules/results\20231021\20231021_131448_06_00_00_kosuge\20231021_131451_od.csv,3533,7.252089383928292,C:/Users/hayashide/kazu_ws/sotsuron_experiment/sotsuron_experiment/results/ras_csv\06_04_00__2023-10-21-13-27-10.csv,C:/Users/hayashide/kazu_ws/sotsuron_experiment/sotsuron_experiment/analysis/mp4/skeleton\05_06_00__2023-10-21-11-51-40_skeleton.mp4
38,C:/Users/hayashide/ytlab_ros_ws/ytlab_nlpmp/ytlab_nlpmp_modules/results\20231021\20231021_131739_06_01_00_kosuge\20231021_131741_od.csv,3533,7.283217028212003,C:/Users/hayashide/kazu_ws/sotsuron_experiment/sotsuron_experiment/results/ras_csv\06_05_00__2023-10-21-13-31-09.csv,C:/Users/hayashide/kazu_ws/sotsuron_experiment/sotsuron_experiment/analysis/mp4/skeleton\05_07_00__2023-10-21-11-55-04_skeleton.mp4
39,C:/Users/hayashide/ytlab_ros_ws/ytlab_nlpmp/ytlab_nlpmp_modules/results\20231021\20231021_132107_06_02_00_kosuge\20231021_132110_od.csv,3470,7.320830748546528,C:/Users/hayashide/kazu_ws/sotsuron_experiment/sotsuron_experiment/results/ras_csv\06_06_00__2023-10-21-13-34-23.csv,C:/Users/hayashide/kazu_ws/sotsuron_experiment/sotsuron_experiment/analysis/mp4/skeleton\05_08_00__2023-10-21-11-58-34_skeleton.mp4
