Frame,hayashide_CentreOfMass_X,hayashide_CentreOfMass_Y,hayashide_CentreOfMass_Z,hayashide_LHeadAngles_X,hayashide_LHeadAngles_Y,hayashide_LHeadAngles_Z,hayashide_LNeckAngles_X,hayashide_LNeckAngles_Y,hayashide_LNeckAngles_Z,hayashide_RHeadAngles_X,hayashide_RHeadAngles_Y,hayashide_RHeadAngles_Z,hayashide_RNeckAngles_X,hayashide_RNeckAngles_Y,hayashide_RNeckAngles_Z,robot_X,robot_Y,robot_Z
166,,,,,,,,,,,,,,,,-1542.140259,57.920979,1142.359497
167,,,,,,,,,,,,,,,,-1542.134155,57.935078,1142.378052
168,,,,,,,,,,,,,,,,-1542.11438,57.899166,1142.370605
169,,,,,,,,,,,,,,,,-1542.08667,57.887981,1142.342041
170,,,,,,,,,,,,,,,,-1542.104248,57.898449,1142.338745
171,,,,,,,,,,,,,,,,-1542.120239,57.907753,1142.327393
172,,,,,,,,,,,,,,,,-1542.141235,57.927536,1142.353638
173,,,,,,,,,,,,,,,,-1542.140503,57.93745,1142.369141
174,,,,,,,,,,,,,,,,-1542.104736,57.891945,1142.368042
175,,,,,,,,,,,,,,,,-1542.118408,57.877514,1142.362793
176,,,,,,,,,,,,,,,,-1542.100952,57.885208,1142.34729
177,,,,,,,,,,,,,,,,-1542.12561,57.902718,1142.336304
178,,,,,,,,,,,,,,,,-1542.147705,57.931763,1142.351562
179,,,,,,,,,,,,,,,,-1542.155273,57.948006,1142.365601
180,,,,,,,,,,,,,,,,-1542.123291,57.931782,1142.357666
181,,,,,,,,,,,,,,,,-1542.109253,57.911324,1142.348877
182,,,,,,,,,,,,,,,,-1542.123535,57.885937,1142.351318
183,,,,,,,,,,,,,,,,-1542.110352,57.875275,1142.330933
184,,,,,,,,,,,,,,,,-1542.133057,57.898758,1142.349121
185,,,,,,,,,,,,,,,,-1542.146118,57.931831,1142.356934
186,,,,,,,,,,,,,,,,-1542.134766,57.913265,1142.360229
187,,,,,,,,,,,,,,,,-1542.115356,57.886505,1142.36731
188,,,,,,,,,,,,,,,,-1542.096191,57.874771,1142.345459
189,,,,,,,,,,,,,,,,-1542.122681,57.906708,1142.354858
190,,,,,,,,,,,,,,,,-1542.13208,57.923347,1142.352417
191,,,,,,,,,,,,,,,,-1542.136475,57.929432,1142.369263
192,,,,,,,,,,,,,,,,-1542.137329,57.925644,1142.37439
193,,,,,,,,,,,,,,,,-1542.129272,57.895939,1142.373169
194,,,,,,,,,,,,,,,,-1542.112793,57.880909,1142.357178
195,,,,,,,,,,,,,,,,-1542.118408,57.877762,1142.353394
196,,,,,,,,,,,,,,,,-1542.137207,57.894051,1142.352295
197,,,,,,,,,,,,,,,,-1542.136108,57.927147,1142.354004
198,,,,,,,,,,,,,,,,-1542.161011,57.93021,1142.36731
