Frame,hayashide_CentreOfMass_X,hayashide_CentreOfMass_Y,hayashide_CentreOfMass_Z,hayashide_LHeadAngles_X,hayashide_LHeadAngles_Y,hayashide_LHeadAngles_Z,hayashide_LNeckAngles_X,hayashide_LNeckAngles_Y,hayashide_LNeckAngles_Z,hayashide_RHeadAngles_X,hayashide_RHeadAngles_Y,hayashide_RHeadAngles_Z,hayashide_RNeckAngles_X,hayashide_RNeckAngles_Y,hayashide_RNeckAngles_Z,hayashide_LThoraxAngles_X,hayashide_LThoraxAngles_Y,hayashide_LThoraxAngles_Z,hayashide_RThoraxAngles_X,hayashide_RThoraxAngles_Y,hayashide_RThoraxAngles_Z,robot_X,robot_Y,robot_Z
187,,,,-5.75786,11.0404,27.1695,,,,-5.75786,-11.0404,-27.1695,,,,,,,,,,-1537.793213,29.871754,1142.620483
188,,,,-5.84978,10.2776,24.9805,,,,-5.84978,-10.2776,-24.9805,,,,,,,,,,-1537.792114,29.843803,1142.625854
189,,,,-5.98091,10.4524,23.1994,,,,-5.98091,-10.4524,-23.1994,,,,,,,,,,-1537.770508,29.819756,1142.610962
190,,,,-5.99755,10.2562,20.9447,,,,-5.99755,-10.2562,-20.9447,,,,,,,,,,-1537.744263,29.794174,1142.619995
191,,,,-6.33365,10.6529,19.872,-26.7092,9.05893,23.4978,-6.33365,-10.6529,-19.872,-26.7092,9.05893,23.4978,30.4818,27.1854,37.5066,30.4818,-27.1854,-37.5066,-1537.75,29.796099,1142.623169
192,,,,,,,,,,,,,,,,31.8181,26.2542,35.7104,31.8181,-26.2542,-35.7104,-1537.775391,29.830175,1142.624878
193,,,,,,,,,,,,,,,,32.2681,25.8516,34.6698,32.2681,-25.8516,-34.6698,-1537.799072,29.839046,1142.620239
194,,,,,,,,,,,,,,,,33.1245,25.2201,33.4201,33.1245,-25.2201,-33.4201,-1537.771851,29.870371,1142.606323
195,,,,,,,,,,,,,,,,34.0597,24.2119,31.9008,34.0597,-24.2119,-31.9008,-1537.769775,29.825033,1142.607056
196,,,,,,,,,,,,,,,,34.7509,23.7198,30.5916,34.7509,-23.7198,-30.5916,-1537.750122,29.800581,1142.601929
197,,,,,,,,,,,,,,,,35.4479,23.0016,29.3815,35.4479,-23.0016,-29.3815,-1537.747559,29.779264,1142.60498
198,,,,,,,,,,,,,,,,36.4294,22.4545,28.0567,36.4294,-22.4545,-28.0567,-1537.762817,29.806376,1142.622681
199,,,,,,,,,,,,,,,,36.7698,21.8497,26.9125,36.7698,-21.8497,-26.9125,-1537.801147,29.853804,1142.63501
200,,,,,,,,,,,,,,,,37.5022,20.9979,25.7117,37.5022,-20.9979,-25.7117,-1537.794434,29.870153,1142.631714
201,,,,,,,,,,,,,,,,38.2087,20.2832,24.6352,38.2087,-20.2832,-24.6352,-1537.764526,29.838272,1142.608643
202,,,,,,,,,,,,,,,,38.5263,19.5411,23.7002,38.5263,-19.5411,-23.7002,-1537.742798,29.813227,1142.605713
203,,,,,,,,,,,,,,,,38.9093,18.9666,22.8021,38.9093,-18.9666,-22.8021,-1537.742065,29.790865,1142.614258
204,,,,,,,,,,,,,,,,39.3205,18.5498,22.0206,39.3205,-18.5498,-22.0206,-1537.737427,29.802311,1142.612671
205,,,,,,,,,,,,,,,,39.8872,18.0782,21.1505,39.8872,-18.0782,-21.1505,-1537.806274,29.837805,1142.638794
206,,,,,,,,,,,,,,,,40.2174,17.7583,20.4263,40.2174,-17.7583,-20.4263,-1537.809326,29.86343,1142.618408
207,,,,,,,,,,,,,,,,40.5315,17.424,19.8346,40.5315,-17.424,-19.8346,-1537.771851,29.838318,1142.608765
